id      name            ra             dec            fov     n_stars
1001    NGC_1252         47.704167      -57.766667     120       36
1002    M67             132.838375       11.800667      20      211
1003    NGC_3532        166.3875        -58.73          45      288
1005    M11             282.7729         -6.266667      15      416
1006    NGC_7790        359.630458       61.2025        20      218
2001    JL_163            2.6775        -50.236111      20        7
2002    MCT_0401-4017    60.755         -40.191111      20        7
2003    LB_1735          67.894583      -53.620278      20        8
2005    MCT_0550-4911    87.974583      -49.175278      20        6
2006    LSS_982          22.62125       -40.509444      20        8
2007    WD_0830-535     127.985417      -53.681111      20       12
2008    WD_1056-384     164.56625       -38.735278      20        5
2009    WD_1153-48      179.015         -48.663889      20        9
2010    LSE_44          208.1875        -48.154722      20        7
2011    LSE_259         253.437917      -56.004444      20        9
2012    MCT_2019-4339   305.714583      -43.49          20        7
2013    JL_82           324.004167      -72.7975        20        5
2014    JL_117          343.73125       -72.383056      20        5
3001    T_Phe             7.64375       -46.468889      15       11
3002    SA92             13.814583        0.790556      70       41
3003    SA92_SF1         13.8525          0.662778      10        4
3004    SA92_SF2         14.027917        0.8675        10        4
3007    SA93             28.7575          0.831111      60        4
3009    PG0231+051       38.410417        5.316667      15        6
3010    F_24             38.820833        3.715         15        4
3011    SA94             43.98375         0.724722      70        7
3013    SA95             58.611667        0.23          70       44
3016    SA95_SF3         58.395833       -0.018611      10        8
3020    SA96             73.072083        0.063889      70        6
3021    GD_71            88.096667       15.891389      15        6
3022    SA97             89.4825          0.098333      60        6
3024    SA98            103.014583       -0.324167      30       46
3025    SA98_SF1        102.995833       -0.380556      10       27
3026    SA98_SF2        103.088333       -0.310556      10       22
3027    Ru149           111.063333       -0.536667      15        8
3028    Ru152           112.499583       -2.093889      15        7
3029    SA99            118.708333       -0.553611      60        5
3031    SA100           133.309583       -0.632222      60        6
3032    SA100_SF1       133.354167       -0.668333      10        4
3034    PG0918+029      140.38375         2.783611      15        5
3035    PG0942-029      146.297917       -3.134444      15        5
3036    SA101           149.145833       -0.496111      60       35
3038    SA101_SF2       149.035833       -0.46          10        6
3039    GD_108          150.199167       -7.544722      10        5
3040    PG1047+033      162.534583       -0.021667      15        4
3042    G163_50/51      166.935          -5.213889      15        7
3045    SA104           190.7925         -0.566389      70       34
3046    SA104_SF1       190.782917       -0.513889      10        6
3047    PG1323-086      201.468333       -8.829722      15        5
3049    PG1407-013      212.625          -1.461111      15        6
3050    SA106           220.54375        -0.294722      70        4
3051    PG1525-071      232.058333       -7.259722      15        5
3052    SA107           234.7025         -0.224722      70       30
3053    SA107_SF1       234.695          -0.346667      10        5
3054    SA107_SF2       234.769167       -0.255278      10        5
3056    PG1633+099      248.894167        9.806389      15        8
3057    SA108           249.329167       -0.239444      60        9
3058    PG1657+078      254.880417        7.717778      15        6
3059    SA109           266.2275         -0.263333      60        8
3061    SA110           280.585417        0.184722      60       39
3062    SA110_SF1       280.26125         0.021667      10        5
3063    SA110_SF2       280.708333        0.096389      10        8
3064    SA110_SF3       280.788333        0.490556      10        8
3067    SA111           294.457083        0.359722      60        8
3071    SA112           310.527917        0.220556      60        7
3074    Mark_A          310.994583      -10.773333      15        5
3075    G26_7           322.819167       -9.811389      15        4
3076    SA113           325.531667        0.375278      60       42
3077    SA113_SF1       325.220417        0.413611      10        8
3079    SA113_SF3       325.612917        0.683611      10        4
3080    SA113_SF4       325.877917        0.283056      10        5
3081    G93_48          328.074167        2.373056      15        5
3082    PG2213-006      334.085833       -0.3325        15        7
3083    SA114           340.472917        0.817222      60       10
3084    SA114_SF1       340.4675          1.225833      10        4
3085    GD_246          348.100833       10.795278      15        4
3087    SA115           355.72125         1.096944      60        7
4001    GD_2              1.8898333      33.3142222     15        6
4002    GD_8              9.9360417      31.5795278     15        4
4003    SA20             11.4632083      45.8850556     40       23
4004    SA20_SF1         11.1979583      45.8348056     15        4
4005    SA20_SF2         11.3526667      45.695611      15        5
4006    SA20_SF3         11.4033333      45.8726111     15        4
4007    SA20_SF4         11.643875       46.114888      15        5
4008    SA20_SF5         11.7341667      45.8803889     15        9
4009    GD_10            16.7487083      39.5205833     15        4
4014    GD_421           27.7505833      67.6976111     15        5
4015    GD_279           28.0100833      47.0179722     15       10
4016    SA23             56.2257083      45.28525       30       16
4017    SA23_SF1         56.1069167      45.1153056     15        5
4018    SA23_SF2         56.1821667      45.345305      15        5
4019    SA23_SF3         56.33625        45.4578889     15        5
4021    GD_61            69.6431667      41.1712222     15        4
4022    GD_64            74.327125       41.91947       15        7
4023    SA26            100.9589167      44.6374444     30       16
4024    SA26_SF1        100.9589167      44.6374444     15        6
4026    SA26_SF3        101.094875       44.7893056     15        5
4029    PG0837+401      130.2560417      39.9416944     15        4
4034    SA29            146.1346667      44.2596944     60       15
4039    SA29_SF5        146.7363333      44.3276944     15        5
4040    SA29_SF6        146.8245         44.6626111     15        5
4045    KUV_348-14      151.303          38.7870278     15        4
4047    GD_310          172.346625       38.1286389     15        4
4051    GD_314          181.135875       60.5828611     15        6
4053    SA32            194.2170833      44.2141389     60       22
4054    SA32_SF1        193.897625       44.3523889     15        5
4057    SA32_SF4        194.1974167      43.993         15       12
4060    GD_325          204.07           48.4921944     15        4
4062    GD_336          217.97875        37.1009167     15        4
4063    PG1430+427      218.1402917      42.5219722     15        4
4065    SA35            238.1145         44.7132778     40       18
4068    SA35_SF3        237.974375       44.6196111     15        4
4069    SA35_SF4        238.0388333      44.5033889     15       10
4075    PG1648+536      252.4995         53.4876944     15        5
4076    GD_363          264.655          41.889         15        5
4077    GD_378          275.9187917      41.0897778     15        4
4078    SA38            282.3022083      45.2615278     20       16
4081    SA38_SF3        282.3562083      45.2366111     15        4
4082    SA38_SF4        282.65575        45.1383056     15        7
4083    GD_391          307.4585417      39.2647778     15        9
4084    SA41            328.4644167      45.4293056     30       13
4085    SA41_SF1        328.4142083      45.5866944     15        8
4086    SA41_SF2        328.5762083      45.2478889     15        5
